Batch#,STPP_Dosing Time,STPP_QTY,SODAL 1_Dosing Time,SODAL 1_QTY,LABSA_Dosing Time,LABSA_QTY,Mixing-1,Colour_Dosing Time,Colour_QTY,Mixing-2,Frisis + Feldspar_Dosing Time,Frisis + Feldspar_QTY,Mixing-3,HA 20_Dosing Time,HA 20_QTY,Mixing-4,SODAL 2_Dosing Time,SODAL 2_QTY,Mixing-5,Phosphoric Acid_Dosing Time,Phosphoric Acid_QTY,Mixing-6,Sodium Silicate_Dosing Time,Sodium Silicate_QTY,Mixing-7,Perfume_Dosing Time,Perfume_QTY,Mixing-8,Total Mixing Time,IDLE Time before PV,Median_BatchPV
Batch-1,22,170,124,720,126,469,267,50,16,60,38,342,175,27,79,125,184,659,124,770,247,328,22,69,31,24,2,28,1138,5050,30
Batch-2,24,170,121,720,109,462,239,76,15,41,41,341,168,26,81,133,143,650,127,811,243,328,17,67,32,34,2,31,1099,1174,22
Batch-3,19,170,136,721,87,467,253,76,14,23,40,345,180,27,79,130,166,643,136,759,261,332,19,65,29,11,2,31,1114,4473,30
Batch-4,23,170,191,720,135,462,298,44,16,20,27,342,174,28,79,127,208,661,127,853,243,328,25,67,29,43,2,30,1133,4285,30
Batch-5,21,170,117,719,108,470,245,24,14,47,37,336,158,25,81,145,123,651,126,793,244,322,17,64,31,12,2,28,1102,731,24
Batch-6,19,170,108,720,91,462,281,108,14,49,34,338,156,29,80,142,206,651,171,776,256,317,21,63,30,25,2,28,1148,2421,29
Batch-7,22,170,174,721,111,468,244,26,15,4,35,339,158,26,80,122,153,662,125,786,251,330,21,69,33,3,2,31,1047,5392,30
Batch-8,29,170,136,720,77,469,271,50,16,58,34,339,169,29,80,125,123,646,171,810,264,322,15,68,29,2,2,29,1148,3053,30
Batch-9,30,170,123,721,95,470,275,104,16,23,41,335,159,25,79,134,180,647,148,831,244,317,20,62,27,42,2,30,1113,1318,27
Batch-10,27,170,174,719,94,466,288,113,16,46,31,342,175,28,79,124,169,636,134,832,246,336,25,60,31,5,2,29,1148,2018,28
Batch-11,24,170,200,721,89,463,284,46,15,9,33,343,154,25,79,143,117,637,163,766,262,329,23,63,27,51,2,31,1140,5773,32
Batch-12,31,170,151,721,106,464,286,110,16,17,29,342,175,27,79,129,114,645,168,835,251,303,26,70,32,28,2,28,1138,2078,29
Batch-13,29,170,190,720,81,460,276,47,14,47,31,345,172,26,80,147,169,635,133,768,254,326,22,62,28,63,2,29,1148,612,27
Batch-14,25,170,173,721,119,470,237,73,15,36,33,337,166,25,79,158,133,639,146,761,263,329,18,69,29,17,2,28,1129,1993,28
Batch-15,21,170,118,720,83,467,300,40,14,42,39,343,157,26,80,155,209,649,148,764,263,331,19,66,27,53,2,31,1148,4089,30
Batch-16,27,170,178,719,110,469,270,110,14,13,41,344,168,25,79,158,111,659,151,830,265,329,25,61,31,63,2,28,1148,3963,31
Batch-17,18,170,182,719,135,461,248,23,15,36,27,345,165,29,81,121,182,636,136,765,248,327,26,61,31,29,2,29,1093,879,20
Batch-18,35,170,136,719,120,460,299,86,15,30,41,344,162,26,80,130,159,661,141,832,250,310,20,60,33,5,2,29,1134,2547,29
Batch-19,26,170,168,721,87,466,246,48,16,33,31,341,159,26,80,138,183,661,136,833,254,319,25,62,32,22,2,28,1091,967,27
Batch-20,22,170,147,719,91,465,257,86,15,9,30,336,156,28,79,125,221,642,131,856,261,297,23,65,27,8,2,29,1031,2550,28
Batch-21,29,170,126,719,90,466,239,107,14,46,38,341,158,29,81,161,176,660,158,780,262,324,26,62,33,38,2,31,1148,3384,29
Batch-22,21,170,192,721,114,461,241,17,16,6,34,344,176,29,79,150,141,637,178,856,254,324,20,66,31,60,2,29,1135,1490,29
Batch-23,33,170,149,720,107,460,287,38,15,48,31,336,179,25,80,133,200,638,134,833,264,333,23,62,31,60,2,30,1148,3926,31
Batch-24,19,170,131,720,120,467,238,96,15,44,41,344,178,25,80,143,210,656,159,761,243,306,21,70,32,22,2,29,1129,1907,28
Batch-25,20,170,149,719,127,465,242,18,14,29,29,343,160,26,79,135,133,658,158,797,258,327,21,66,32,16,2,30,1113,4340,30
Batch-26,26,170,183,719,90,470,279,38,14,8,33,337,177,25,81,159,196,645,168,775,246,320,20,70,27,56,2,29,1148,2371,29
Batch-27,25,170,110,721,130,460,272,119,14,14,26,337,177,26,79,162,202,643,126,789,256,330,22,68,33,26,2,28,1142,5679,31
Batch-28,19,170,115,719,105,461,240,106,16,58,28,342,159,27,79,131,205,656,152,778,259,324,21,65,30,8,2,29,1123,2515,28
